00:00:03 00:00:05  thank you san good
01:34:37 01:35:11  i think i understand so in that sense chuck is right that the operational graphic would be drawn in the the common pine which is age radii that marcus was using earlier but as the user is drawing those he's free to switch between different kinds of these vaster backgrounds so as marcus was showing a we can take this feed allow the user to see this as they are drawing the operational graphic if that's the one they want to base the operational graphic on or they can flip over and two different aster background and maybe do it based on in a satellite imagery
01:35:13 01:35:35  but what's of course really critical is that if they draw these graphic based on the roads they see on like a map we they're looking at right now on chuck screen but then that's not the road that happens to be in the simulation system you know ther the vector data that was ingested then there's going to be a mis match between you know the vector data that drives the simulation
01:35:36 01:35:41  it may be different from the aster and therefore is now different from the operation
01:35:42 01:35:55  i think honestly those are just real problems in the mapping world that there is no clean solution too there's always going to be discrepancy between mapping products and there is always going to be these mapping products that were created to be human readable
01:35:55 01:36:00  right now ah that will be different from anything we have in the pental
01:36:04 01:36:05  very good thank you
01:36:11 01:36:17  and so no anyone else has questions sheen i think this kind of covers the the map and the d and c chart
01:36:18 01:36:20  thanks to grio
01:36:20 01:36:36  and we're seven minutes ahead of schedule from what i can tell guys so that's a good thing i next up we've got a bohemia and richard brake and though a little bit break you want me to share the screen again oh yes what jacket
01:36:39 01:36:46  good afternoon rich brake project manager over here at bohemia all with me i've also got jack wells
01:36:51 01:36:59  ah this previous spring bohemia was somewhat light we are focusing on to rain up dates and then we also had a resource issue
01:36:59 01:37:05  and turn over so we weren't able to get a couple of things done that we wanted to but they will be
01:37:06 01:37:11  our focus was on the g a g i s area
01:37:11 01:37:15  for the scenario as well as the full extent
01:37:15 01:37:23  we provided the g i s terrain out to the pioneer partners we got feed back with trying to a fixed at and
01:37:23 01:37:37  we ourselves found it a bug earlier to day with our v v s for rain so what we're going to show you is the tude overlay of g a and then the point correlation
01:37:37 01:37:42  between our high resolution insets at g a seven and what
01:37:43 01:37:46  for said jacob he went on hi deck that
01:37:49 01:37:52  to muse i'll see
01:37:58 01:37:59  a king
01:38:00 01:38:02  they're bracing my screen oka
01:38:03 01:38:09  i should i be a whole pile of a cor sprat now i jump back out
01:38:10 01:38:17  area so i have the two inset areas seven g eight
01:38:19 01:38:22  this is the sore state of this being a juncture
01:38:24 01:38:27  that was provided to us and atterson was processed
01:38:29 01:38:32  of the importance of
01:38:32 01:38:37  of what we've been working on is making sure that there's a correlated sanity
01:38:39 01:38:50  sum some of the applications in the complete minor system have relatively low resolution requirements too this is an urban area this is a
01:38:51 01:38:57  aforesaid area representing rather large areas and another application down to
01:38:57 01:39:09  b can deal with doors and windows and hinges a level fidelity individual blades of grass and such a so that's what we've been working on in the
01:39:09 01:39:14  the inter structure would be able to provide that semantic correlation
01:39:15 01:39:19  so let me just jump into a part of
01:39:21 01:39:23  servant to
01:39:27 01:39:35  and actually i'm going to start by turning off what we've been doing and going back to just an open street
01:39:35 01:39:41  going back to a topic that we've had several times before but to
01:39:41 01:39:59  bring it up again for context i looking at open street maps data here just reminded the there's very few objects that are actually populating here so while open street maps has very good road coverage there is almost no building coverage there is a few select
01:40:01 01:40:11  large structures but entire neighborhoods are missing for whatever reason somebody has populated these two streets there and the entire rest of the neighborhood is miss
01:40:11 01:40:18  the automation that comes with terror tools goes a long ways to solving that problem in a couple of determinist
01:40:19 01:40:28  approaches and provides the output either a medium resolution for constructive simulations or ultra high resolution for collective simulations
01:40:29 01:40:35  and the way we do that and i'll talk of that lair back on and now you see it's a starting filling
01:40:38 01:40:47  a so the black lines are representing the rows that we pulled in from open street maps and adjacent to that you'll notice that there's both points in boxes
01:40:48 01:40:57  some of these points are placed procedure to spawn billions at those locations or light poles or any number of other
01:40:57 01:40:58  data points of
01:40:59 01:41:09  in addition if there is biding footprint available that that's available for the other applications all that's being used to feed our procedure buildings
01:41:12 01:41:15  if the application is able to
01:41:16 01:41:22  a blan placement sure that data is there i fits able use blain footprint that data is there it's all correlated
01:41:25 01:41:31  and this also includes other surface material types such as aforesaid areas a
01:41:32 01:41:43  a travers ability of constraints is is a cleared paved road exist as an open field of and all that data is structured with i
01:41:44 01:41:48  enormous number of properties are going through the automation pipe blind
01:41:49 01:42:07  we see a attribution ideas are going back to the original sum idea so for v v and a purposes we can follow the chain of custody from where that the source road segment originated if there was a data error along the way
01:42:07 01:42:10  we can appropriately point fingers
01:42:10 01:42:17  as a problem with source data was a problem with the processing or where was that at
01:42:20 01:42:24  ah and then there's properties that are going
01:42:26 01:42:27  stimuli such as
01:42:29 01:42:31  that can be placed in there
01:42:34 01:42:35  a
01:42:35 01:42:37  et so
01:42:37 01:42:49  we used the exact same process that we did the earlier i g seven four and we ran the same pipe line for for g to flush out the data there at
01:42:50 01:42:55  so this is a review of the g i s layers and a break
01:42:56 01:42:57  filing that's in
01:43:00 01:43:04  any commercial yes iv the question
01:43:04 01:43:17  so when you when you're generating these train features is especially geo typical i what what we might find in those areas or are you actually converting actual a and displaying that
01:43:18 01:43:22  a that that's completely up to the source
01:43:22 01:43:26  to the point of j
01:43:26 01:43:32  specific jail correlate the surface classification types
01:43:36 01:43:40  only you can read this of the greens and yellows
01:43:41 01:43:43  and so those are
01:43:46 01:44:01  so e the brown lines those represent cleared paved areas and those being directly extracted either from combination of imagery image classification or from the vector data from
01:44:02 01:44:14  so those are precisely correlated with some of the billing placement if i jump over here some of these things are like street lights and such street poles where that that data wasn't in
01:44:14 01:44:18  and we didn't have high enough imagery for
01:44:19 01:44:28  detection those would be placed procedure in the agis say if you want the life poles to be a
01:44:29 01:44:37  ten meter space sena one meter away from the road that's a scrip perimeter to automatically generate those
01:44:37 01:44:40  all the roads within a given jeal bounds
01:44:41 01:44:45  does that answer the question yes it did thank you
01:44:46 01:44:52  you dis intice is represent a rail in the
01:44:52 01:44:54  as a layer
01:44:54 01:44:56  i
01:44:56 01:45:10  that's just another data layer i don't believe i've actually i don't think i've got rails within this data set but there's no constraint on either the terr is in process inside
01:45:10 01:45:14  or the v b aside for placement of rail lines
01:45:14 01:45:16  phemius does have a
01:45:16 01:45:18  rail vitalization
01:45:18 01:45:21  for placing him as just essentially different skinned
01:45:23 01:45:26  phoebus does not have a real simulation but
01:45:26 01:45:28  have a real visualization
01:45:36 01:45:39  on any other questions on the
01:45:39 01:45:40  a process
01:45:45 01:45:49  i i don't know if you're really getting to the go typic
01:45:54 01:46:03  point of the speck of where we might be trying to conceal where an operation might be occurring due to sensitivity
01:46:03 01:46:08  oh i understand you're filling the gaps because the features
01:46:08 01:46:14  depicted or or category catalogued system no
01:46:14 01:46:18  ted can you dress up
01:46:19 01:46:22  generating go typical o
01:46:25 01:46:29  a happy do so a break you want first dibs on that or would you like me
01:46:32 01:46:41  so with the automation pipe there's nothing that's necessarily g specific about the
01:46:43 01:46:45  it's just the data that's gone be
01:46:46 01:46:55  if there is desire to have a completely arbitrary fictitious location there there is nothing that constrains it to this specific location
01:46:55 01:46:59  want to a pickin empty spots o alma
01:46:59 01:47:06  indian ocean and i use po shop and create an arbitrary height map and make it completely
01:47:07 01:47:15  fictitious there's no constraint in either the trained preparation tools or fibs to
01:47:16 01:47:21  in fact a couple of the data bases are included with us
01:47:22 01:47:31  out of the box or legacy roll over from vibius three and prior that were built exactly in that manner and so we've positioned them out in the middle of the ocean
01:47:31 01:47:34  arbitrarily to support those exact happy use
01:47:35 01:47:37  i preciate thank you
01:47:41 01:47:43  absolutely absolute
01:47:45 01:47:57  that's a good point cos actually i often tend a focus on the g specific aspects for a co train but absolutely v b s does have the ability to
01:47:58 01:48:12  create whatever fictitious terrain drop that in there using the tatus process and the source data that would go into that can just as readily be exported to any of the other applications l g raid
01:48:12 01:48:17  on as it is essentially a fictitious data
01:48:17 01:48:19  in go specific structure
01:48:22 01:48:23  roger
01:48:24 01:48:46  this chuck daniels so i'm curious on this screen what you're showing right now you've got a lot of of points that are being represented oh i would have to guess several thousand oh if not hundreds of thousands of points being represented in this just the two grays that you have there
01:48:47 01:49:02  what is the computing load to be able to manage all this and if you don't have it that's fine i'm just curious you know when we start growing this out even bigger to more piles i can only imagine the a work load
01:49:03 01:49:08  a sure and that that's a couple of strings the territories of
01:49:09 01:49:15  a billy there i wonders a bash mot manager a billy that allows you to shart it up in
01:49:16 01:49:39  cells and run the exact same automation process across multiple cells in parallel a and then the individual steps so there'll be a sequence of identifying positions adjacent to a road and that runs in parallel across the road and then there'll be another subsequent step to actually place a
01:49:40 01:50:02  to optat the object definition for that position so like for example street lights there'll be a one step to go and extract all the roads next step to generate positions adjacent to the roads and next step to generate the light light pole definitions for that so it's all right in sequence there it's extremely salable to
01:50:02 01:50:13  a continental scale or larger just you just stamp o morning notes in the cloud there in terms the output a something yu're seeing right now is actually
01:50:13 01:50:22  more of the source data view where there's a multiple of concurrent dea types so you'll see that billing footprints in addition to billing placement
01:50:23 01:51:00  in v b s you're only going to get one or the other you're not going to have a billion placemen on top of a billion footprints that that's that's necessarily duplicated in the source data but the individual output with grad v b s for ascot et cetera they're only going to have a singular output there so there may be say four different source primers for four different source data types for a given building but each of the and resulting day bases will only have one of those four types that's appropriate to their
01:51:03 01:51:05  ge thank you
01:51:12 01:51:13  any other questions
01:51:14 01:51:17  no said jacob
01:51:18 01:51:21  ah that's what i've got unless brake has anything else for me
01:51:23 01:51:25  or john fingers
01:51:25 01:51:27  the correlation
01:51:28 01:51:33  a good point as so a
01:51:35 01:51:47  in here so take a look at this promontory area here we've got some roads just to keep this in mind for reference we've got a few billions not not a whole lot a
01:51:47 01:51:56  then we'll jump over to v b s and here we've got the same promontory now the different forest sos b s
01:51:58 01:52:01  si a renan
01:52:07 01:52:09  i
01:52:15 01:52:17  you come
01:52:18 01:52:35  so so center left you've got the exact same promontory we're just looking at the roads are placed there in this case bus just gets an arbitrary vector for the roads but then based off on those properties the size which texture with scale
01:52:36 01:52:41  and and painting to texture that at one time you've got
01:52:43 01:52:45  a variety of different building types
01:52:45 01:53:05  we've got a resolution custom malls in v b s that are placed at individual points that have been generated relative to the road so t this building would have been placed a procedure using that terro automation to get to get the road position get the blamed space in such
01:53:06 01:53:11  ah then we've got other buildings that there is a footprint that was
01:53:11 01:53:33  so in these cases er billing that's automatically grown a procedure based off the footprint from open street maps so the footprint in this case is very go specifically precise if something l g ray can read billion footprints for a path plane such that's going to be exact same results in both
01:53:36 01:53:44  a there's obviously some constraints of automatic placement but for a
01:53:45 01:53:50  make a city at constraints this is the most practical approach to filling
01:53:54 01:54:02  could you range it on the air field a it should have been kind of left center sole view we are looking at
01:54:03 01:54:07  you just ak the oranges here and
01:54:12 01:54:13  the other way
01:54:18 01:54:19  back over this direction
01:54:22 01:54:23  a very no
01:54:25 01:54:37  i thought it was to the left ye should be directly behind the ram port facility like so where you have your purple kind of like in the middle of the purple blob im on the one blow out
01:54:37 01:54:39  down down left
01:54:41 01:54:45  oh and keep going down
01:54:46 01:54:47  taco
01:54:52 01:54:57  so i think the air field was still under construction and this is this is
01:54:58 01:55:00  snapshot here for for
01:55:09 01:55:14  one of the reasons for my question is that a
01:55:14 01:56:07  i think if this is a capability an offering to the three model is a very nice representation and i think you can expect players would use it so in the amphibious raid vine to e there you see the location of a runway players are going to use it to do things like target planning and so one of the things i think is of note is sort of saying o k there's a relationship you want to make sure that the representation of those key features that are like bridges and air fields and runways and no that are target able objects for a vine like an amphibious raid you know if you're going to simulate that analogy raid you want to make sure that there's a correlation between those at least key objects i just wondered if you wouldn't mind about that just the fire roll quick there ok so al but to the southeast so right now you shober see the airfield
01:56:08 01:56:27  s this is using just a basic placement here again this is actually this is not a hand painted texture this this texture is actually derived procedure from a runway placement known interet so using the outline
01:56:28 01:56:33  open street maps is able to build this whole complete runway
01:56:35 01:56:51  and work spain that capability to include taxi ways and more complex li and such so just a zoom out here give a conduct relevance so we've got the large built up city center to the top left first beach a promontory and second beach
01:56:54 01:57:03  back to the g s maps get there the top left till you got the sea built up barrier first beach promontory second beach and there's
01:57:10 01:57:11  v p s
01:57:17 01:57:18  back to the map
01:57:24 01:57:25  questions latent
01:57:28 01:57:29  now t fire
01:57:32 01:57:34  i thank you
01:57:34 01:57:35  thank you gus
01:57:36 01:57:38  and we are right on track
01:57:40 01:57:42  i'm the next up we got
01:57:43 01:57:46  i believe it spun with velocity and
01:57:48 01:57:55  no peg now we're going to have a doctor calloway do that for us so he'll pick up
01:57:55 01:57:59  fouquet you want the screen or you want me to bring up your
01:57:59 01:58:01  ah we like to
01:58:02 01:58:03  you've got it take it away
01:58:39 01:58:41  we check on real quick
01:58:45 01:58:48  we hear you lot in clear spun just don't see your screen
01:59:12 01:59:15  we are even having trouble when his brows are here
01:59:21 01:59:22  t
01:59:23 01:59:24  you ought we can move
01:59:25 01:59:27  on and come back
01:59:28 01:59:34  can is ready chris a thought we're going next up his analytic up dat der go ahead
01:59:35 01:59:42  right o chris are you out there for stew if you can give me a push on
01:59:43 01:59:45  you've got it all you got it to go ahead and take it
01:59:59 02:00:03  i do perfectly i come we see it
02:00:05 02:00:26  vacate so i'm going to give a brief up date on some of the stuff that we've been working on over the last month for the analytic so some of the bits and pieces that danny's already touched on regarding massive and th integration of the and some of the metric development and then just mention one of the other bits and pieces that we're working on which is the analytic map
02:00:27 02:00:34  and it's a massive integration and that's been a lot of the work been going on so far to make sure that we can get all the different data coming out of
02:00:35 02:00:39  massive and available for us and in there so actually
02:00:40 02:00:51  not expecting you to read it but the stuff on the right hand side is actually reading data subscribing to a the massive channel and receiving all the data a known and being able to understand it
02:00:52 02:00:53  and put it was in the
02:00:55 02:01:20  part of this also is what we're doing as where reiterating to understand exactly what data exists what data needs to be added to the data model and that we're not receiving and where we aren't receiving it or where we're looking for it then we're either going through and saying can we add it to the massive data model and making sure that it comes through or and where we're done in the past where we directly query some of the simulation system so we've ingested data from
02:01:20 02:01:31  a scale six ate an l g raid passing some of their data as well and also as joe i lighted am integrating from the stuff with not to be able to pull into things like them
02:01:34 02:01:41  one of the other bits and pieces that we worked on this week at this month am the government kindly provided us with the
02:01:41 02:01:54  stan so that's the capability code and capable statements which are used for defense planning and operational planning we manage to get hold of and the latest version so that's the develop there
02:01:54 02:01:57  and this provides us with ability to loop them
02:01:58 02:02:18  in the first instance we be able to tag within the orbit all the different relevant capability codes against the elements and being able to actually use that part of the analytic to either derive metrics or derive groupings that we may be able to use as part of that in the analytic working group there was some discussion about a
02:02:19 02:02:23  a data base that contains all these rather than at the moment they exist
02:02:23 02:02:32  a large pad document provided by nato and what we'll do is over the next a couple of weeks we be able to try and integrate
02:02:32 02:02:42  if the data base exists or manually add them within the metric catalogue m and the ba to be able to tag them and flag them against the relevant
02:02:42 02:02:48  metric and irrelevant orat to be able to provide the aimless debility
02:02:49 02:02:54  to select those a and select them as part of them and then see the outcome of those as they are demonstrated
02:02:56 02:03:01  and what we've also been working on is an ana ray map and this was our
02:03:01 02:03:21  way of trying to articulate exactly where the analytic are going to go how we can achieve all the different pipes relating to the analytic and articulate them against a specific er scenarios but also make sure that we're recovering where some of the analytic where some of the p specks are quite
02:03:22 02:03:28  quite sporting quite difficult to achieve in the early phases how we can process and flow them
02:03:28 02:03:45  so what we've also done is is taking other reference documentation both internationally and the d o d a i strategy to try and make sure that we're coherent across all the different documentation and provide that so we're hoping to at least but you say a draft version of that come then
02:03:46 02:03:47  come for the i p r
02:03:49 02:04:03  particularly making sure that we articulate and things like tax on my to make sure that people understand where we're using things like a i and m l because quite often they're quite interchangeable but actually we want to make sure that we articulating them clearly where they're being news in halbe
02:04:04 02:04:08  and also where we think there will be certain elements that
02:04:09 02:04:16  are not able to be achieved in phase two or difficult to achieve in phase two
02:04:16 02:04:18  without creating large amounts of
02:04:19 02:04:28  dummy data then we articulate how the process and everything else but also then articulate weather can be done in phase three where we have large amounts of
02:04:29 02:04:31  data available for us
02:04:32 02:04:41  and so as part of the road map we produce the time line for each of the phases so that the first on the left hand side in the light blue is a south west
02:04:42 02:04:45  and that's going to cover a number of
02:04:45 02:04:48  p specks e p specks at the top
02:04:48 02:04:53  it that one the middle one is the o i f scenario and where we reply
02:04:53 02:04:57  achieve a number of the other p specks and then finally the
02:04:57 02:04:59  meadow east
02:04:59 02:05:10  theatre of strategic air is going to be on the white hand side in the light and each one of those will be producing a demo and up dating those ticing and demonstrating
02:05:11 02:05:20  how they've been achieved and going through there and we had a really good conversation and i with brian and because some of the piece pecks
02:05:21 02:05:25  are very as we say sporting and requiring
02:05:26 02:05:33  ask why they generate a certain amount of false data or large amounts of data hit with data
02:05:34 02:05:39  so that's why we try to put them towards its author the far end or a high light where they could be
02:05:41 02:06:08  and just to focus in on the e i p in september what we've tried to do is a within the snare working group and articulate exactly a particular question that's looking to be identified so this one's mass without vulnerability of concentration articulate these into a series of questions we're commonly going through the process of articulating all of the metrics
02:06:08 02:06:22  to achieve those where they exist within the pioneer war game data how they can be calculated and processed all the way through to demonstrate a number of a dash boards which will come into as part
02:06:24 02:06:31  kill a victim score board the integrated censor communicate effect and espouse the score amis
02:06:32 02:06:46  and then what we want to try and do is is where we start articulating all this data as mentioned is where they can go next as part of things in in phase three so where you start getting into predictive analytic which will
02:06:47 02:06:55  start articulating things like and what's the best a ne century combination for mission success we won't be able to achieve that a
02:06:56 02:07:00  in phase two given the data but were it's one of the things that we're looking for in terms
02:07:00 02:07:02  if ether forward in face
02:07:03 02:07:06  i paused now for any questions on the
02:07:10 02:07:38  just one note on that you guys had asked the question in many cases with the the p spec analytic the scenario research questions or the the validate test cases provide you know some decent specific examples of some of the types of things you want there you guys had brought up the question about for a couple of those a performance based
02:07:38 02:07:45  on questions like in a babel to down lo in a billion number records that for some specific examples
02:07:45 02:07:48  we we can no
02:07:48 02:07:49  we can research
02:07:51 02:07:57  yes absolutely i think a couple of those and i think it's a good conversation to have
02:07:58 02:08:03  whether you want us to show the process for how it would be achieved or
02:08:03 02:08:04  you're generating
02:08:05 02:08:07  it two billion roads and columns
02:08:10 02:08:20  four times ten to eighteen a data points generating that just to show that it can be done or show the process private a
02:08:29 02:08:35  that's me just to be clear this is vivian i think we dropped that requirement out of the piece back
02:08:43 02:09:11  i that's the same one we're talking about bryan omens billions of columns of supply that and that that might that might be the case vivian is in point like where we had one that we say you know two directed grafts and in our test cases we say o k you know a logistics flow is an example of that here's an example you know of something you know that you wan't shown that's one that they asked about and i couldn't produce a specific
02:09:11 02:09:21  you know example of what would test that you know it yes but i don't know you could be right it could have been weeded out and might have been weeded out
02:09:21 02:09:34  i know it was because industry unanimously vetoed it or said it's a waste but won't let's take this off line i don't want to keep everybody over that we'll find out
02:09:35 02:09:38  thank you i think that one's pipe three seven one
02:09:38 02:09:40  and sofa it's been dropped in
02:09:45 02:09:51  thought's me good thank you chris i'm going to check back in with spud
02:09:53 02:09:54  how are you doing
02:09:54 02:09:59  this is with alex are you all able to hear me yes we got you
02:10:02 02:10:03  badian
02:10:09 02:10:10  think of your illness
02:10:12 02:10:14  you got you
02:10:17 02:10:26  m o k s my name's in cowboy with alex am and i'll be going pretty quickly through these slides because there's a lot to cover but um really
02:10:30 02:10:37  a case the purpose of this presentation is to introduce three tools underdeveloped by alex that create a pipe line for the processing and analyzing of converse
02:10:39 02:10:45  we have a speech to text tool which automatically transcribes conversational speech from audio and video files
02:10:47 02:11:00  which takes research questions to help develop for war game and identifies conversations relevant to the question and we have an exploratory data analysis tool which can be used to automatically generate analytic from a collection collection of
02:11:03 02:11:14  s a no sorry can i ask n for your speech to text did you guys have that before finer and o w c the path we've been headed down
02:11:14 02:11:19  ere the belle recently to my knowledge nothing i i got out ere
02:11:21 02:11:26  i got to we we had a basic capability but it was not our meeting
02:11:26 02:11:32  your piece back requirement until a until een got on board and developed this
02:11:33 02:11:34  forbade
02:11:36 02:11:37  a
02:11:38 02:11:46  am so the avers that i'll talk about is speech to text which automatically generates transcriptions from multi media files a
02:11:47 02:12:03  the p speck for this project it accepts wave files m b files and a b i files m and other file for mats as well we're not dim ding those functional ties to day and the recording that you'll you'll be seeing throughout the slides that came from an m p four radio file
02:12:05 02:12:06  oh
02:12:07 02:12:16  it is a container command line tool a exactly how it's been inter face with a pioneer hasn't been defined yet but there's some flexibility in the exact form form that that can take
02:12:17 02:12:26  am so it produces transcriptions which report at this point two pieces of information the transcription itself a model best guess at what was said and
02:12:27 02:12:32  indicates when that bit of conversation was produced relative to the start of the audio pile
02:12:32 02:12:46  m we're interested obviously in absolute time stamps for the conversation so like when exactly the line of dialogue happens relative to other time periods in the war game m and as time control within pioneer continues to be developed will evince
02:12:52 02:13:03  m so according to the project piece this model should have a word air rate of less than twenty per cent and it actually achieves that m on bench mark data it achieves a word air rate of two
02:13:04 02:13:06  and on am
02:13:07 02:13:12  ting so as you'll see the pioneer pioneer mo from last month ad achieves a word air rate of about
02:13:14 02:13:26  a it performs well on audio recordings except in cases where people are talking over one another and if the audio is the quality of the audio is poor either because there's too much background noise or
02:13:28 02:13:38  i'm to make sure that the war gaming audio act usable for for down stream analysis we'll have to eventually have a discussion about what the actual war game recording environment looks
02:13:41 02:13:44  soma switch over real quick too
02:13:47 02:13:48  to
02:13:54 02:14:03  it is the tipe of one quick question on that speakers talking over each other your le s ask you see if you are talking about a room and you've got
02:14:05 02:14:45  but say you got two equal volume speakers right one's right next to the other they were next to my friend they're talking over each other o k it doesn't perform well i guess my question is is that still the case if you've got one person mainly talking ay and maybe more distant but quieter you know there's something like con there is in fact another person talking in that room it's showing up but it's you know much quieter you know there's a clat like a person would say i know who's talking and i know there's some people kind of talking quietly in the corner i mean is that still oh no not going to work because there it's only going to work if a single person is being received
02:14:47 02:15:06  we'd have we'd have to um run som testing to to say exactly how robust it is but um in general as long as one person is significantly louder than the other then the person who's louder will be captured well and then the person who's much quieter if they get captured at all ah
02:15:07 02:15:09  body of that particular van scription won't
02:15:09 02:15:23  sophy if you had um like one person close to the mike and then a few people across the room talking quietly to themselves um you're still going to get a decent transcription of the person who's close to the mike
02:15:26 02:15:27  o gething
02:15:34 02:15:36  these is
02:15:37 02:15:39  yes thanks him
02:15:40 02:15:46  am case so assuming that you all are able to see this new window am so
02:15:47 02:16:02  demo last month a the t this output showed shown on editor tool which basically allows for the text to be displayed and edited in line with the audio recording on which i would play for you all but i don't think fit the audio would be piped through
02:16:02 02:16:04  and
02:16:04 02:16:05  a
02:16:07 02:16:22  a the ah the word air rate for this demo is about ten per cent a an it shows actually the quality of the transcription am in most cases so in focus on this line here am it's very clear to see what's actually being said and hopefully
02:16:23 02:16:25  this works you'll be able to see that it matches up with
02:16:28 02:16:38  and takin alba what tyson said a wild bat and a ther scorpion is two kinds of war games those that are in the operatives that play the war game and o the a
02:16:38 02:16:42  the robots as focus more cope
02:16:43 02:16:45  an i a oh
02:16:47 02:16:54  but the scenery working group and the process flow between the cinara working group and the a working group in marin
02:16:54 02:17:02  at all clothes but you'll talk about the vines one two and three there an become enough to overwork me for for i p r number four
02:17:04 02:17:06  so wild edith
02:17:13 02:17:21  yes ok see you can see that i sort of what was actually said and what's represented here seemed to match up fairly
02:17:22 02:17:26  ah so that said there are still some cases
02:17:27 02:17:40  the transcription what's being said am somebody used this line here am in this case i believe there's two people that are overlapping in talking and so this first portion of of the line is a little bit garbled
02:17:41 02:17:43  and anto ben record
02:17:44 02:17:46  so you can see that it captured
02:17:47 02:18:06  m that the report the meeting is being recorded but this first part m because two people were talking at about the same volume m this is just not correct m so that this is something to keep in mind in terms of creating an ideal recording setting to actually capture the audio accurately
02:18:12 02:18:21  ok so the con content search is a tool that can be used to search through a collection of documents and identify sections of texts that are relevant to queries that you might have about the
02:18:22 02:18:26  am these queries can range in size am its pass bad
02:18:27 02:18:30  all phrases entire sentences are even multi set
02:18:32 02:18:34  switch over again to see with
02:18:36 02:18:46  so this stem of the concept sir also uses its transcription output from the demo last month on this tool can be used simply by writing a manual query
02:18:47 02:18:49  for for a particular war game
02:18:53 02:19:00  she met us two queries actual and i'll show you kind of what both look like so the input here is security classification
02:19:00 02:19:06  ah and so you can see on the right which sections of this particular
02:19:07 02:19:10  am orated as most relevant
02:19:10 02:19:12  to the particular query
02:19:12 02:19:18  and if you look into that you can see at a paragraph level on which paragraph is rated as most
02:19:20 02:19:26  and so you can see right here that the result actually seems to match up reasonably to what
02:19:27 02:19:29  if i typed in security assif
02:19:30 02:19:35  it's also possible to run on the longer query as well and so if we try that
02:19:38 02:19:45  om so this is not just a single word or like om a small phrase but a full a full sentence
02:19:49 02:20:05  where m the this this section corresponds to the most relevant m relevant section of the document and then a click here m this paragraph is rated as the most relevant paragraph within that section
02:20:18 02:20:25  come so finally the exploratory data analysis tool can be used to produce metrics about a document or a collection
02:20:27 02:20:32  briefs recordings of conversations as will be doing very soon interviews or more
02:20:32 02:20:44  this sort of tool would be especially useful to analysts who want to write a post game report about what was said during the war game it could also potentially be useful even during game planning to assess intelligence briefing in order to build a course
02:20:53 02:21:05  am so this is a demo of data using a sub section from the same transcript as as you saw before so this is still the july demo am you can see the text from this document in this box here so this is
02:21:07 02:21:11  of the transcript being used for use for analysis
02:21:11 02:21:17  a and when you click the run button you'll see you would see a series of metrics being generated
02:21:18 02:21:23  to the first components of this toll i give the user an idea about the document as a whole
02:21:24 02:21:26  im so the summers ation
02:21:27 02:21:36  of the most distinctive things that were said in the overall stretch of text m as well as key phrases m that could be used a capture the document and a mors
02:21:37 02:21:46  a the gram's component gives an idea of what words or phrases come up most often throughout the document and this topic modelling
02:21:52 02:22:06  the sentiment analysis section gives the user an idea of how people were discussing certain ideas within the document and the location and named into the recognition components give the user an idea
02:22:07 02:22:08  tins were talked about
02:22:09 02:22:22  m for now you can see that the categories a the category is reported for the named an to the recognition component they're fairly general but in future versions of this model a those categories will be domain relevant to
02:22:24 02:22:26  and finally we have a keyboard search
02:22:27 02:22:30  to identify sentences in the document that contains specific
02:22:38 02:22:46  a so we eat is all with three tools that could form a processing pipeline for conversational data our data can be transcribed searched and and
02:22:47 02:22:56  we'll be needing to work with these war gaming conversations eventually when generating post game reports and these tools have a potential to form a backbone for the analysis of the conversation
02:22:57 02:23:02  conversational data can then be tied to par metric results to build a complete plus game
02:23:03 02:23:06  more generally any analysis of conversational data
02:23:08 02:23:15  the pi plane may also reduce the barrier to entry for the analysis of speech in other domains by making it a process that can happen quickly and in the background
02:23:23 02:23:25  so the question
02:23:29 02:23:53  are you sir you saying you're mining this information out of un structured logging information that users in organ participants are recording as in a blog or are you actually trying to also mine it out of a recorded in a game cell speech or plenary session speech or something like that
02:23:54 02:23:56  so i think i misfit the last half of the question
02:23:58 02:24:00  i got it down
02:24:01 02:24:15  yes we are doing it on real time you know the conversational data we could do it on any type of data that we the text once we have the text we can then mind that data as well
02:24:18 02:24:20  thank you
02:24:27 02:24:29  right o you think it look for en or spud
02:24:31 02:24:36  the good news is we are eight minutes ahead of schedule the bad news is we are passing over to mark
02:24:39 02:24:49  he's going to rap it up your for or i lose some of our time i i appreciate the shout of confidence jean i'll remember that next time i try to catch you up during the senoria
02:24:49 02:24:51  pondering i
02:24:52 02:24:57  so i'll start off with a power point which most people know
02:24:57 02:25:49  i despise and jean you can see he's already getting excited he's eating candy over there cause he sees a com wire diagram and that makes him super excited and what we're trying to show here is some of the things that we've put in the modelling and simulation tools and i'm actually not going to be the co de graw that's going to be old so i hand it to him for something that's alive m but when we try to do communications architecture and understand whether our systems can actually talk to each other and being able to really use this energy of pioneer which is having a you know a very high powerful tool like exod but not making somebody have to be an user of exod to get the benefits of it and so what we did here is i just made a quick wire diagram of one of our older scenarios and i'll pulled up that scenario just so everybody can see it but but it was this naval landing
02:25:50 02:25:54  and so trying to understand how could all these systems communicate
